sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
6987;SDS011;3534;49.960;8.017;2018-01-01T00:00:14;4.40;;;2.20;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:02:42;3.53;;;2.00;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:05:08;6.50;;;2.97;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:07:36;4.77;;;2.40;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:10:02;5.40;;;3.30;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:12:30;5.97;;;2.30;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:14:56;3.70;;;2.63;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:17:23;4.10;;;2.37;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:19:50;4.83;;;2.33;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:22:17;3.50;;;2.07;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:24:44;5.23;;;2.60;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:27:12;5.30;;;2.17;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:29:38;3.60;;;2.33;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:32:06;3.50;;;2.23;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:34:32;3.60;;;1.90;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:36:59;2.90;;;1.80;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:39:26;6.90;;;2.30;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:41:53;3.80;;;2.00;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:44:20;5.57;;;2.30;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:46:47;6.53;;;2.77;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:49:14;6.40;;;1.80;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:51:41;2.23;;;2.03;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:54:08;3.30;;;1.53;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:56:35;4.93;;;2.43;;
6987;SDS011;3534;49.960;8.017;2018-01-01T00:59:02;5.50;;;2.43;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:01:28;5.20;;;1.90;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:03:56;4.70;;;1.80;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:06:22;8.00;;;2.27;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:08:50;7.10;;;2.50;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:11:17;5.80;;;1.83;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:13:45;4.17;;;2.17;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:16:12;12.47;;;1.73;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:18:39;2.20;;;1.40;;
6987;SDS011;3534;49.960;8.017;2018-01-01T01:21:05;7.43;;;2.23;;
