sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
1695;SDS011;845;49.870;8.649;2018-01-01T00:01:25;4.40;;;4.00;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:03:52;5.00;;;3.87;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:06:19;4.63;;;4.23;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:08:47;8.30;;;6.30;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:11:14;4.67;;;3.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:13:41;5.40;;;4.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:16:09;6.53;;;5.93;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:18:35;6.70;;;5.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:21:02;6.13;;;5.37;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:23:29;7.17;;;6.47;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:25:55;9.37;;;6.37;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:28:22;6.83;;;5.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:30:48;6.83;;;6.23;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:33:15;6.00;;;5.43;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:35:42;6.17;;;5.53;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:38:08;5.87;;;5.27;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:40:35;6.70;;;5.97;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:43:02;6.30;;;5.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:45:29;6.40;;;5.20;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:47:57;7.80;;;5.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:50:24;5.60;;;5.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:52:51;8.00;;;5.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:55:19;7.03;;;5.27;;
1695;SDS011;845;49.870;8.649;2018-01-01T00:57:46;5.80;;;5.17;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:00:14;6.67;;;5.77;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:02:41;6.97;;;5.27;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:05:08;6.50;;;5.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:07:34;7.63;;;5.30;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:10:01;5.77;;;5.03;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:12:27;8.60;;;6.07;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:14:54;6.40;;;5.13;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:17:20;6.40;;;5.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:19:47;6.70;;;5.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:22:14;8.93;;;5.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:24:40;8.90;;;5.93;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:27:08;6.60;;;5.60;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:29:35;8.20;;;5.83;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:32:02;8.43;;;6.07;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:34:30;8.40;;;6.27;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:36:57;9.33;;;6.30;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:39:24;6.13;;;5.33;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:41:52;5.80;;;5.20;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:44:19;8.93;;;6.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:46:46;5.73;;;5.13;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:49:12;6.03;;;5.43;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:51:39;7.60;;;5.37;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:54:05;6.70;;;5.17;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:56:32;6.47;;;5.33;;
1695;SDS011;845;49.870;8.649;2018-01-01T01:58:59;6.30;;;5.40;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:01:25;9.30;;;4.93;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:03:52;6.57;;;5.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:06:18;9.80;;;5.30;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:08:46;5.43;;;4.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:11:13;6.67;;;4.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:13:40;6.67;;;3.97;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:16:08;6.27;;;4.00;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:18:35;7.00;;;4.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:21:03;5.20;;;3.63;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:23:30;4.50;;;3.40;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:25:56;6.50;;;3.83;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:28:23;5.37;;;2.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:30:50;6.27;;;2.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:33:16;6.10;;;3.30;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:35:43;3.70;;;2.40;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:38:09;4.63;;;2.40;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:40:36;7.03;;;2.43;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:43:03;6.93;;;2.63;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:45:31;7.83;;;2.60;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:47:57;4.37;;;2.63;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:50:25;6.17;;;1.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:52:52;3.30;;;1.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:55:19;4.70;;;1.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T02:57:47;4.83;;;1.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:00:14;4.07;;;2.40;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:02:42;3.03;;;1.63;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:05:08;3.27;;;1.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:07:35;3.90;;;1.73;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:10:01;4.33;;;1.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:12:28;4.50;;;1.93;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:14:54;5.70;;;1.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:17:21;3.30;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:19:48;7.13;;;1.87;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:22:14;6.87;;;1.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:24:41;3.40;;;1.40;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:27:08;5.33;;;1.40;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:29:36;4.00;;;1.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:32:03;5.47;;;1.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:34:30;2.50;;;1.17;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:36:58;4.67;;;1.73;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:39:25;4.63;;;2.17;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:41:52;3.80;;;1.57;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:44:19;3.90;;;1.83;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:46:46;4.10;;;1.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:49:13;6.43;;;1.60;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:51:39;4.60;;;1.58;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:54:06;6.40;;;1.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:56:33;4.17;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T03:58:59;3.97;;;1.67;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:01:26;3.27;;;1.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:03:53;5.53;;;1.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:06:21;4.37;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:08:48;3.10;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:11:15;4.03;;;2.03;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:13:43;2.93;;;1.60;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:16:09;5.03;;;1.60;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:18:36;4.90;;;1.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:21:02;4.10;;;1.67;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:23:29;9.10;;;2.87;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:25:56;6.17;;;1.77;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:28:22;8.33;;;1.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:30:49;5.77;;;2.03;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:33:16;6.27;;;2.23;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:35:43;4.70;;;1.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:38:11;5.03;;;1.63;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:40:38;3.90;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:43:06;9.47;;;2.53;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:45:33;5.43;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:48:00;7.13;;;1.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:50:28;9.53;;;2.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:52:54;7.50;;;2.07;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:55:21;11.40;;;2.57;;
1695;SDS011;845;49.870;8.649;2018-01-01T04:57:47;7.73;;;2.37;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:00:14;7.67;;;2.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:02:41;7.83;;;2.20;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:05:07;10.73;;;2.57;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:07:34;4.83;;;2.03;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:10:01;4.00;;;2.00;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:12:28;6.63;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:14:56;2.67;;;1.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:17:23;6.43;;;1.43;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:19:51;6.63;;;1.63;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:22:17;8.53;;;2.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:24:44;7.87;;;1.93;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:27:11;4.00;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:29:37;3.20;;;1.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:32:04;5.30;;;1.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:34:30;7.17;;;3.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:36:57;3.47;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:39:24;7.33;;;1.50;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:41:51;3.03;;;1.37;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:44:18;4.00;;;1.13;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:46:46;3.47;;;1.17;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:49:13;2.60;;;1.20;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:51:40;4.53;;;1.20;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:54:07;2.37;;;1.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:56:34;2.77;;;1.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T05:59:01;2.40;;;0.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:01:28;3.53;;;1.00;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:03:54;1.80;;;0.90;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:06:21;1.33;;;0.73;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:08:47;2.10;;;0.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:11:15;1.83;;;0.60;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:13:42;0.70;;;0.60;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:16:10;0.87;;;0.83;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:18:37;1.50;;;0.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:21:04;2.13;;;1.10;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:23:31;1.23;;;1.07;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:25:57;1.03;;;0.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:28:24;0.70;;;0.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:30:51;2.40;;;0.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:33:17;1.20;;;0.70;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:35:44;3.50;;;0.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:38:10;1.43;;;0.80;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:40:37;4.33;;;1.07;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:43:04;3.50;;;1.00;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:45:31;2.83;;;1.00;;
1695;SDS011;845;49.870;8.649;2018-01-01T06:47:58;2.47;;;1.00;;
