sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
5799;SDS011;2926;49.899;8.671;2018-01-01T00:01:53;4.13;;;3.67;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:04:21;5.90;;;4.53;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:06:50;8.57;;;3.77;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:09:18;6.00;;;3.43;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:11:46;4.00;;;3.60;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:14:15;3.20;;;2.90;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:16:43;7.60;;;3.67;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:19:11;6.87;;;3.70;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:21:40;4.40;;;3.37;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:24:08;8.33;;;4.20;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:26:36;9.83;;;5.13;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:29:05;5.47;;;4.77;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:31:33;8.73;;;5.30;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:34:01;18.23;;;6.13;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:36:30;9.63;;;4.77;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:38:58;9.03;;;6.00;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:41:26;12.23;;;6.20;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:43:55;11.23;;;5.83;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:46:23;8.90;;;4.90;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:48:51;8.50;;;5.60;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:51:20;11.93;;;5.53;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:53:48;9.30;;;6.03;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:56:16;9.17;;;5.60;;
5799;SDS011;2926;49.899;8.671;2018-01-01T00:58:45;10.83;;;5.43;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:01:13;9.07;;;5.33;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:03:41;10.03;;;5.20;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:06:10;9.20;;;4.90;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:08:38;8.30;;;6.27;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:11:06;14.47;;;5.20;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:13:34;8.23;;;5.60;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:16:03;10.50;;;4.90;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:18:31;12.47;;;6.07;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:20:59;7.03;;;5.83;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:23:28;11.37;;;5.93;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:25:56;12.67;;;6.03;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:28:24;9.20;;;6.27;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:30:53;15.63;;;5.90;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:33:21;16.97;;;7.47;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:35:49;14.70;;;6.20;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:38:18;12.03;;;6.57;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:40:46;9.10;;;6.10;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:43:14;9.33;;;6.50;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:45:43;12.90;;;7.07;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:48:11;5.83;;;5.30;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:50:39;13.37;;;6.63;;
5799;SDS011;2926;49.899;8.671;2018-01-01T01:53:08;10.47;;;5.83;;
